City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Maceio,BR,2022-07-14 20:16:19,-9.6658,-35.7353,78.24,69,40,10.36
231,Katangli,RU,2022-07-14 20:19:00,51.7102,143.2326,52.03,97,100,9.06
232,Mackenzie,CA,2022-07-14 20:15:17,55.2999,-123.1698,64.04,52,100,10.16
233,Lata,PT,2022-07-14 20:19:00,40.1629,-8.3327,82.08,45,95,2.42
234,Roberval,CA,2022-07-14 20:19:00,48.5168,-72.2324,73.85,52,75,5.75
235,Lompoc,US,2022-07-14 20:19:01,34.6391,-120.4579,90.7,70,0,14.97
236,Avera,US,2022-07-14 20:19:01,33.194,-82.5271,86.05,77,100,5.19
237,Akdepe,TM,2022-07-14 20:19:01,42.0551,59.3788,82.49,27,0,10.76
238,Aasiaat,GL,2022-07-14 20:19:02,68.7098,-52.8699,38.26,89,35,12.37
239,Vestmannaeyjar,IS,2022-07-14 20:19:02,63.4427,-20.2734,51.22,74,19,9.17
240,Westport,US,2022-07-14 20:15:46,41.1415,-73.3579,89.28,56,20,8.05
241,Mindyak,RU,2022-07-14 20:19:02,54.0231,58.7891,61.5,85,100,1.54
242,Maumere,ID,2022-07-14 20:19:03,-8.6199,122.2111,74.62,78,10,3.78
243,Port Hedland,AU,2022-07-14 20:19:03,-20.3167,118.5667,51.85,87,65,6.91
244,Xam Nua,LA,2022-07-14 20:19:03,20.4197,104.0439,67.1,99,100,1.36
245,Aksay,RU,2022-07-14 20:19:03,47.26,39.87,72.25,43,0,8.01
246,Yaval,IN,2022-07-14 20:19:04,21.1667,75.7,76.28,95,100,5.28
247,Matagami,CA,2022-07-14 20:17:34,49.7502,-77.6328,71.71,30,0,5.75
248,Alyangula,AU,2022-07-14 20:19:04,-13.8483,136.4192,67.32,62,17,13.09
249,Roma,US,2022-07-14 20:18:03,43.2128,-75.4557,78.94,50,75,10.36
250,Nome,US,2022-07-14 20:19:04,64.5011,-165.4064,60.17,82,0,6.91
251,Sao Miguel,BR,2022-07-14 20:16:08,-5.4667,-35.3667,77.77,78,21,15.86
252,Iskateley,RU,2022-07-14 20:16:24,67.6803,53.1512,71.71,67,91,7.07
253,Bonnyville,CA,2022-07-14 20:19:05,54.2668,-110.735,76.8,55,20,12.1
254,Vaini,TO,2022-07-14 20:19:05,-21.2,-175.2,77.16,94,20,6.91
255,Calvinia,ZA,2022-07-14 20:19:06,-31.4707,19.776,49.08,80,0,4.05
256,Osakarovka,KZ,2022-07-14 20:19:06,50.565,72.5692,68.04,42,58,3.78
257,Fengcheng,CN,2022-07-14 20:19:06,40.4536,124.0717,66.2,91,0,1.3
258,Ende,ID,2022-07-14 20:19:07,-8.8432,121.6623,72.79,87,21,1.45
259,Ust-Ilimsk,RU,2022-07-14 20:19:07,58.0006,102.6619,51.66,93,77,2.17
